,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Faanui,31,PF,1569891949,78,-16.48,-151.75,77.99,18.5
1,Busselton,57,AU,1569891956,54,-33.64,115.35,63.0,7.18
2,Torbay,90,CA,1569892026,93,47.66,-52.73,45.0,23.04
3,Salinas,0,US,1569891852,39,36.67,-121.66,66.99,12.75
4,Yugorsk,70,RU,1569892089,89,61.32,63.33,34.48,7.9
5,Yashkul,52,RU,1569892089,65,46.17,45.34,56.41,8.77
6,Lorengau,99,PG,1569892089,75,-2.02,147.27,83.16,7.76
7,Guiyang,20,CN,1569892090,77,26.58,106.71,66.2,2.24
8,Mahebourg,79,MU,1569892090,83,-20.41,57.7,73.0,1.99
9,Zevio,13,IT,1569892090,88,45.38,11.14,70.0,3.36
10,Rikitea,100,PF,1569891919,78,-23.12,-134.97,68.88,14.29
11,Bredasdorp,15,ZA,1569892091,87,-34.53,20.04,53.01,3.36
12,New Norfolk,20,AU,1569891983,47,-42.78,147.06,59.0,6.93
13,Geraldton,90,CA,1569892091,93,49.72,-86.95,41.0,11.41
14,Yerbogachen,79,RU,1569892092,91,61.28,108.01,28.92,5.73
15,Dingle,90,PH,1569891950,77,11.0,122.67,80.89,1.92
16,Ushuaia,90,AR,1569891945,86,-54.81,-68.31,33.8,16.11
17,Hithadhoo,58,MV,1569892004,77,-0.6,73.08,82.49,16.64
18,Mar del Plata,81,AR,1569892092,36,-46.43,-67.52,43.29,6.35
19,Kodiak,1,US,1569892093,74,39.95,-94.76,81.0,10.29
20,Castro,40,CL,1569892093,93,-42.48,-73.76,37.4,4.7
21,Punta Arenas,75,CL,1569891988,69,-53.16,-70.91,35.6,16.11
22,Antofagasta,20,CL,1569892093,71,-23.65,-70.4,57.2,8.05
23,Chokurdakh,88,RU,1569892094,86,70.62,147.9,24.21,13.18
24,Ahipara,33,NZ,1569892094,62,-35.17,173.16,56.62,24.79
25,Jardim,19,BR,1569892094,39,-21.48,-56.15,85.1,6.69
26,Saskylakh,92,RU,1569891917,93,71.97,114.09,23.14,7.38
27,Vaini,75,IN,1569892095,93,15.34,74.49,66.2,1.63
28,Zhigansk,56,RU,1569892095,77,66.77,123.37,25.47,12.62
29,Puerto Ayora,20,EC,1569892093,69,-0.74,-90.35,73.4,17.22
30,Albany,90,US,1569892096,63,42.65,-73.75,63.0,10.29
31,Upernavik,52,GL,1569892096,72,72.79,-56.15,39.56,7.2
32,Guiglo,21,CI,1569892096,99,6.55,-7.5,72.14,1.88
33,Bethel,75,US,1569892096,71,60.79,-161.76,50.0,8.05
34,Hoquiam,90,US,1569892097,54,46.98,-123.89,60.8,13.87
35,Ystad,0,SE,1569891805,70,55.43,13.82,48.0,11.41
36,Washington DC.,90,US,1569892080,68,38.9,-77.04,71.01,7.49
37,Ribeira Grande,97,PT,1569891949,72,38.52,-28.7,70.61,9.6
38,Caravelas,37,BR,1569892098,86,-17.73,-39.27,72.72,9.98
39,Qaanaaq,100,GL,1569891923,97,77.48,-69.36,34.12,13.04
40,Isangel,75,VU,1569892098,69,-19.55,169.27,80.6,11.41
41,Lompoc,1,US,1569891994,39,34.64,-120.46,70.0,13.87
42,Villa del Rosario,0,AR,1569892099,37,-31.55,-63.53,69.8,19.46
43,Khatanga,8,RU,1569891923,90,71.98,102.47,20.53,2.82
44,Bluff,10,AU,1569892099,27,-23.58,149.07,80.82,13.67
45,Vardo,90,US,1569891977,100,39.62,-77.74,69.01,5.06
46,Diebougou,100,BF,1569892100,90,10.97,-3.25,74.32,5.26
47,Iqaluit,75,CA,1569892100,86,63.75,-68.52,37.4,4.7
48,Ambilobe,11,MG,1569892100,73,-13.19,49.05,76.32,12.46
49,Butaritari,57,KI,1569892101,63,3.07,172.79,84.81,7.87
50,Hermanus,0,ZA,1569892101,95,-34.42,19.24,55.0,4.72
51,Santa Cruz,96,BR,1569892101,80,-6.22,-36.02,69.58,12.41
52,Vila Franca do Campo,20,PT,1569892101,82,37.72,-25.43,71.01,3.36
53,Vestmannaeyjar,40,IS,1569892102,86,63.44,-20.27,48.06,14.41
54,Avarua,100,CK,1569891968,64,-21.21,-159.78,73.4,10.29
55,Tulsipur,92,IN,1569892102,90,27.53,82.41,72.03,4.5
56,Laguna,75,BZ,1569892103,79,16.17,-88.94,84.2,3.02
57,Snegiri,75,RU,1569892103,93,55.89,37.04,57.2,8.95
58,Broken Hill,0,AU,1569892103,20,-31.97,141.45,68.0,13.87
59,Martapura,100,ID,1569892104,88,-3.41,114.85,75.2,1.12
60,Hobart,20,AU,1569891958,47,-42.88,147.33,59.0,6.93
61,Viedma,37,AR,1569892104,27,-40.81,-62.99,50.43,5.08
62,Tsuyama,75,JP,1569892105,88,35.14,134.03,77.0,4.7
63,Tarko-Sale,100,RU,1569892105,92,64.92,77.78,36.0,11.61
64,Farkhor,75,TJ,1569892105,56,37.49,69.4,69.8,8.95
65,Dembi Dolo,100,ET,1569892106,94,8.53,34.8,65.93,4.29
66,Sao Filipe,25,CV,1569892106,83,14.9,-24.5,78.15,10.89
67,Kaka,0,TM,1569892106,40,37.35,59.62,56.75,5.06
68,Banda Aceh,72,ID,1569892106,75,5.56,95.32,81.18,12.48
69,Mataura,32,NZ,1569892107,74,-46.19,168.86,46.99,8.01
70,Cape Town,20,ZA,1569892107,82,-33.93,18.42,59.0,10.29
71,Barrow,97,AR,1569892107,55,-38.31,-60.23,51.66,4.0
72,Mattoon,1,US,1569892108,42,39.48,-88.38,82.4,4.7
73,Mishkino,90,RU,1569892108,100,56.22,46.62,50.0,13.42
74,Port Moresby,90,PG,1569891976,79,-9.47,147.16,84.2,11.41
75,Ola,100,RU,1569892108,51,59.58,151.3,34.21,3.98
76,Poddorye,100,RU,1569892109,98,57.47,31.12,53.37,5.46
77,Ust-Karsk,100,RU,1569892109,93,52.71,118.82,46.54,3.49
78,Pingxiang,0,CN,1569892109,49,27.63,113.85,73.31,0.67
79,Lithgow,63,AU,1569891939,63,-33.48,150.16,64.99,8.05
80,Westport,90,US,1569892044,63,41.14,-73.36,64.99,9.17
81,Saint-Philippe,75,CA,1569892110,76,45.36,-73.48,55.0,4.7
82,Quatre Cocos,79,MU,1569891837,83,-20.21,57.76,73.0,3.0
83,Sur,0,OM,1569892111,59,22.57,59.53,83.71,11.5
84,Arraial do Cabo,60,BR,1569892111,81,-22.97,-42.02,68.11,19.17
85,Hilo,90,US,1569892111,74,19.71,-155.08,80.6,10.29
86,Mount Isa,0,AU,1569892055,11,-20.73,139.49,91.4,12.75
87,Kodino,93,RU,1569892112,99,63.72,39.64,44.65,2.75
88,Spassk,100,RU,1569892113,85,53.93,43.19,54.01,16.37
89,Yellowknife,75,CA,1569892040,65,62.45,-114.38,44.6,16.11
90,Ati,100,TD,1569892113,51,13.21,18.34,85.91,7.4
91,Izumo,75,JP,1569892113,78,35.37,132.75,77.0,12.75
92,Unai,34,BR,1569892114,35,-16.36,-46.91,78.69,2.42
93,Klaksvik,100,FO,1569891879,81,62.23,-6.59,42.8,13.87
94,Norman Wells,75,CA,1569892114,44,65.28,-126.83,57.2,2.53
95,Jamestown,0,AU,1569891932,34,-33.21,138.6,69.33,14.18
96,Atuona,15,PF,1569892115,75,-9.8,-139.03,79.7,15.75
